LeagueRank,AdjV,LeagueV,KeepV,Name,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g
28,1.60,0.28,+1.32,Luka Doncic,DAL,PG/SG,65,35.4,28.4,3.1,9.1,8.7,1.2,0.6,0.457,21.6,0.744,7.5,4.5
1,1.53,0.98,+0.55,Nikola Jokic,DEN,PF/C,74,33.5,27.1,1.3,13.7,7.9,1.5,0.9,0.583,17.7,0.810,6.3,3.8
4,1.52,0.68,+0.84,LeBron James,LAL,PG/SG/SF,56,37.2,30.3,2.9,8.2,6.2,1.3,1.1,0.524,21.8,0.756,6.0,3.5
3,1.48,0.72,+0.76,Joel Embiid,PHI,PF/C,68,33.8,30.6,1.4,11.7,4.2,1.1,1.5,0.499,19.6,0.814,11.8,3.1
6,1.39,0.55,+0.84,Stephen Curry,GSW,PG/SG,64,34.6,25.5,4.5,5.2,6.3,1.3,0.3,0.437,19.1,0.923,4.7,3.2
13,1.35,0.40,+0.95,Jayson Tatum,BOS,SF/PF,76,35.9,26.9,3.0,8.0,4.4,1.0,0.6,0.453,20.6,0.853,6.2,2.9
10,1.33,0.45,+0.88,Giannis Antetokounmpo,MIL,PF/C,67,32.9,29.9,1.1,11.6,5.8,1.1,1.4,0.554,18.6,0.722,11.4,3.3
2,1.12,0.78,+0.34,Kevin Durant,BKN,SF/PF,55,37.2,29.9,2.1,7.4,6.4,0.9,0.9,0.519,20.3,0.910,7.4,3.5
8,1.12,0.52,+0.60,Karl-Anthony Towns,MIN,PF/C,74,33.5,24.6,2.0,9.9,3.6,1.0,1.1,0.529,16.4,0.822,6.3,3.1
5,1.04,0.65,+0.39,Kyrie Irving,BKN,PG/SG,29,37.6,27.4,3.4,4.3,5.8,1.4,0.6,0.469,21.2,0.915,4.4,2.5
15,1.03,0.40,+0.63,Paul George,LAC,SF/PF,31,34.8,24.4,2.9,6.9,5.7,2.1,0.4,0.421,20.5,0.860,4.8,4.0
24,0.94,0.30,+0.64,Donovan Mitchell,UTA,PG/SG,67,33.8,25.9,3.5,4.2,5.3,1.5,0.2,0.448,20.6,0.853,4.7,3.0
11,0.88,0.44,+0.44,Trae Young,ATL,PG,76,34.9,28.4,3.1,3.7,9.7,1.0,0.1,0.460,20.3,0.904,7.3,4.0
20,0.84,0.36,+0.48,Devin Booker,PHO,SG/SF,68,34.5,26.8,2.7,5.0,4.8,1.1,0.4,0.466,20.9,0.868,5.3,2.4
12,0.78,0.43,+0.35,James Harden,PHI,PG/SG,65,37.2,22.0,2.3,7.7,10.3,1.3,0.6,0.410,15.3,0.877,8.2,4.4
127,0.77,-0.22,+0.99,Julius Randle,NYK,PF/C,72,35.3,20.1,1.7,10.0,5.1,0.7,0.5,0.411,17.3,0.756,5.6,3.4
21,0.76,0.35,+0.41,LaMelo Ball,CHA,PG/SG,75,32.3,20.1,2.9,6.7,7.6,1.6,0.4,0.429,16.7,0.872,3.2,3.3
14,0.75,0.40,+0.35,Fred VanVleet,TOR,PG/SG,65,37.9,20.3,3.7,4.4,6.7,1.7,0.6,0.403,16.9,0.874,3.4,2.6
80,0.75,-0.09,+0.84,Christian Wood,HOU,PF/C,68,30.8,17.9,1.9,10.1,2.3,0.8,1.0,0.500,12.9,0.623,4.9,1.9
62,0.74,-0.02,+0.76,Jaylen Brown,BOS,SG/SF,66,33.6,23.6,2.5,6.1,3.5,1.0,0.3,0.473,18.4,0.758,4.8,2.7
49,0.73,0.09,+0.64,Damian Lillard,POR,PG,29,36.4,24.0,3.2,4.1,7.3,0.6,0.4,0.402,19.0,0.878,6.2,2.9
46,0.68,0.12,+0.56,Zach LaVine,CHI,SG/SF,67,34.7,24.4,2.8,4.6,4.5,0.6,0.3,0.477,17.7,0.853,5.6,2.6
29,0.68,0.23,+0.45,Nikola Vucevic,CHI,C,73,33.1,17.6,1.4,11.0,3.2,1.0,1.0,0.473,15.8,0.760,1.7,1.9
41,0.63,0.14,+0.49,Domantas Sabonis,SAC,PF/C,62,34.5,18.9,0.6,12.1,5.2,1.0,0.4,0.572,12.5,0.741,5.4,3.1
59,0.63,-0.01,+0.64,Klay Thompson,GSW,SG/SF,32,29.4,20.4,3.6,3.9,2.8,0.5,0.5,0.429,17.9,0.902,1.6,1.3
68,0.60,-0.06,+0.66,Jaylen Hoard,OKC,SF,7,34.2,14.7,1.3,12.0,2.4,0.9,0.7,0.489,12.9,0.429,2.0,1.1
42,0.59,0.13,+0.46,Anthony Edwards,MIN,SG/SF,72,34.2,21.3,3.0,4.7,3.8,1.4,0.6,0.441,17.3,0.786,3.9,2.6
48,0.58,0.09,+0.49,Ja Morant,MEM,PG,57,33.1,27.4,1.5,5.7,6.7,1.2,0.4,0.493,20.6,0.761,7.3,3.4
53,0.57,0.04,+0.53,C.J. McCollum,NOR,PG/SG,62,34.6,22.1,2.9,4.3,5.1,1.1,0.4,0.460,18.8,0.682,2.7,2.0
23,0.57,0.30,+0.27,Rudy Gobert,UTA,C,66,32.1,15.6,0.0,14.7,1.1,0.7,2.1,0.713,7.7,0.690,6.7,1.8
35,0.55,0.18,+0.37,Pascal Siakam,TOR,PF/C,68,37.9,22.8,1.1,8.6,5.3,1.3,0.6,0.494,17.8,0.749,5.6,2.7
7,0.52,0.53,-0.01,Dejounte Murray,SAS,PG/SG,68,34.8,21.1,1.4,8.3,9.2,2.0,0.3,0.462,18.2,0.794,3.6,2.6
44,0.52,0.12,+0.40,Jonas Valanciunas,NOR,C,74,30.3,17.8,0.8,11.4,2.6,0.6,0.8,0.544,12.7,0.820,3.9,2.4
93,0.50,-0.14,+0.64,Kyle Kuzma,WAS,SF/PF,66,33.4,17.1,1.9,8.5,3.5,0.6,0.9,0.452,14.2,0.712,3.3,2.5
